opportunity_title,platform,required_skills,eligible_year,domain,deadline,opportunity_type,description,combined_text
ai research intern,Internshala,"nlp, machine learning, python, power bi",2nd Year,analytics,2026-01-16,Internship,an excellent opportunity to gain handson experience and industry exposure,"ai research intern nlp, machine learning, python, power bi analytics an excellent opportunity to gain handson experience and industry exposure"
product management intern,LinkedIn,"nlp, power bi, cloud, machine learning",1st Year,artificial intelligence,2026-02-05,Internship,an excellent opportunity to gain handson experience and industry exposure,"product management intern nlp, power bi, cloud, machine learning artificial intelligence an excellent opportunity to gain handson experience and industry exposure"
ai research intern,Company Website,"sql, cloud, aws, python",Final Year,data science,2026-02-03,Hackathon,an excellent opportunity to gain handson experience and industry exposure,"ai research intern sql, cloud, aws, python data science an excellent opportunity to gain handson experience and industry exposure"
web development intern,Unstop,"aws, deep learning, tableau, python",3rd Year,web development,2026-02-16,Internship,an excellent opportunity to gain handson experience and industry exposure,"web development intern aws, deep learning, tableau, python web development an excellent opportunity to gain handson experience and industry exposure"
product management intern,LinkedIn,"sql, tableau, react, machine learning",3rd Year,web development,2026-01-04,Scholarship,an excellent opportunity to gain handson experience and industry exposure,"product management intern sql, tableau, react, machine learning web development an excellent opportunity to gain handson experience and industry exposure"
data science intern,Unstop,"deep learning, tableau, python, power bi",1st Year,cyber security,2026-01-28,Hackathon,an excellent opportunity to gain handson experience and industry exposure,"data science intern deep learning, tableau, python, power bi cyber security an excellent opportunity to gain handson experience and industry exposure"
ai research intern,LinkedIn,"excel, nlp, aws, react",1st Year,analytics,2026-02-04,Internship,an excellent opportunity to gain handson experience and industry exposure,"ai research intern excel, nlp, aws, react analytics an excellent opportunity to gain handson experience and industry exposure"
data science intern,Unstop,"tableau, deep learning, machine learning, sql",3rd Year,cloud computing,2026-02-23,Scholarship,an excellent opportunity to gain handson experience and industry exposure,"data science intern tableau, deep learning, machine learning, sql cloud computing an excellent opportunity to gain handson experience and industry exposure"
ai research intern,Indeed,"excel, react, data science, statistics",1st Year,cyber security,2026-01-21,Scholarship,an excellent opportunity to gain handson experience and industry exposure,"ai research intern excel, react, data science, statistics cyber security an excellent opportunity to gain handson experience and industry exposure"
business analytics intern,Unstop,"data science, cloud, power bi, sql",3rd Year,analytics,2026-01-09,Scholarship,an excellent opportunity to gain handson experience and industry exposure,"business analytics intern data science, cloud, power bi, sql analytics an excellent opportunity to gain handson experience and industry exposure"
machine learning intern,Internshala,"cloud, sql, nlp, react",1st Year,web development,2026-02-21,Hackathon,an excellent opportunity to gain handson experience and industry exposure,"machine learning intern cloud, sql, nlp, react web development an excellent opportunity to gain handson experience and industry exposure"
cyber security intern,Internshala,"deep learning, machine learning, sql, aws",Final Year,cloud computing,2026-02-24,Scholarship,an excellent opportunity to gain handson experience and industry exposure,"cyber security intern deep learning, machine learning, sql, aws cloud computing an excellent opportunity to gain handson experience and industry exposure"
cloud engineering intern,Company Website,"javascript, data science, deep learning, excel",Final Year,cyber security,2026-01-14,Hackathon,an excellent opportunity to gain handson experience and industry exposure,"cloud engineering intern javascript, data science, deep learning, excel cyber security an excellent opportunity to gain handson experience and industry exposure"
data science intern,LinkedIn,"react, sql, data science, cloud",1st Year,data science,2026-01-30,Scholarship,an excellent opportunity to gain handson experience and industry exposure,"data science intern react, sql, data science, cloud data science an excellent opportunity to gain handson experience and industry exposure"
data science intern,Unstop,"data science, tableau, nlp, nodejs",Final Year,cyber security,2026-02-06,Hackathon,an excellent opportunity to gain handson experience and industry exposure,"data science intern data science, tableau, nlp, nodejs cyber security an excellent opportunity to gain handson experience and industry exposure"
data science intern,Company Website,"cloud, deep learning, statistics, python",3rd Year,analytics,2026-02-11,Hackathon,an excellent opportunity to gain handson experience and industry exposure,"data science intern cloud, deep learning, statistics, python analytics an excellent opportunity to gain handson experience and industry exposure"
machine learning intern,Indeed,"machine learning, deep learning, nodejs, data science",2nd Year,cyber security,2026-01-28,Internship,an excellent opportunity to gain handson experience and industry exposure,"machine learning intern machine learning, deep learning, nodejs, data science cyber security an excellent opportunity to gain handson experience and industry exposure"
